iso,angry_avg,disgust_avg,fear_avg,happy_avg,neutral_avg,sad_avg,surprise_avg,anger_dom_pct,disgust_dom_pct,fear_dom_pct,happy_dom_pct,neutral_dom_pct,sad_dom_pct,surprise_dom_pct
KOR,0.1275986553281607,0.11907233732084646,0.01716711235387361,0.15994117205264047,0.3202054735677513,0.1733147069546823,0.0827005479774303,10.526315789473683,6.578947368421052,0.0,17.105263157894736,42.10526315789473,14.473684210526317,9.210526315789473
KWT,0.026281617775869865,0.04569135887625938,0.029303053600112133,0.22364176540092254,0.41917961824219674,0.05429572540257747,0.2016068079295413,0.0,0.0,0.0,16.666666666666664,50.0,0.0,33.33333333333333
LAO,0.02778206402581418,0.042522142490876526,0.01836844029700539,0.6353934993967414,0.16217031189444242,0.0668812114308821,0.04688232454645913,0.0,0.0,0.0,75.0,16.666666666666664,8.333333333333332,0.0
LBN,0.3096905295620672,0.17851863817777486,0.02766980740125291,0.15464143085991963,0.21159257078543306,0.0775084723602049,0.040378548816079274,30.0,20.0,0.0,10.0,30.0,10.0,0.0
LBR,0.3635773863643408,0.04748983960598707,0.02178656728938222,0.00781145371729508,0.0652443915605545,0.02243713289499283,0.4716532304883003,50.0,0.0,0.0,0.0,0.0,0.0,50.0
LBY,0.2203657872353991,0.0389005932956934,0.10722679202444851,0.007348708730811874,0.32112892360116047,0.027146794522802036,0.27788243420945946,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333
LKA,0.29872553710910404,0.16040387529541145,0.007644838441840627,0.05778843146452511,0.3609037773514336,0.09191395300017162,0.022619616642425008,27.27272727272727,0.0,0.0,9.090909090909092,63.63636363636363,0.0,0.0
LSO,0.07569447159767151,0.18582814931869507,0.004304229281842709,0.3612257242202759,0.32257983088493347,0.02918218821287155,0.021185442805290222,0.0,0.0,0.0,100.0,0.0,0.0,0.0
LTU,0.04391110851429403,0.005030229775002226,0.0006515945788123645,0.9362844228744507,0.007422517635859549,0.005814394855406135,0.0008857443754095584,0.0,0.0,0.0,100.0,0.0,0.0,0.0
LUX,0.0032316669821739197,0.001210129470564425,0.00041154641075991094,0.9855431318283081,0.007016457617282867,0.0007841179030947387,0.0018029561033472419,0.0,0.0,0.0,100.0,0.0,0.0,0.0
MAR,0.05006846777541796,0.1593705349660013,0.0024375387947657146,0.2511363140074536,0.4905392797663808,0.03046417294535786,0.015983686396793928,0.0,25.0,0.0,25.0,50.0,0.0,0.0
MDA,0.035777179757133126,0.16735404077917337,0.03203320689499378,0.07935876213014126,0.4120244402438402,0.05337880738079548,0.22007358819246292,0.0,0.0,0.0,0.0,50.0,0.0,50.0
MDG,0.0007078504859237,0.0014004619151819497,0.00025499531329842284,0.9778768122196198,0.017742470066878013,0.0004327581846155226,0.001584651181474328,0.0,0.0,0.0,100.0,0.0,0.0,0.0
MEX,0.06462600987184228,0.06638576605525616,0.008808757683125026,0.39065865901440183,0.30751480700356687,0.10858104350128477,0.053424983981001005,7.142857142857142,0.0,0.0,46.42857142857143,32.142857142857146,10.714285714285714,3.571428571428571
MLI,0.011203053407371044,0.0853959247469902,0.0038751105312258005,0.19340306520462036,0.3798108696937561,0.22156468033790588,0.10474716871976852,0.0,0.0,0.0,0.0,100.0,0.0,0.0
MMR,0.017138754993668823,0.12044789751858584,0.020109030331825904,0.4681068878354771,0.18133923830464482,0.04158495639733571,0.15127323831464828,0.0,14.285714285714285,0.0,57.14285714285714,0.0,0.0,28.57142857142857
MNG,0.004946128002219749,0.023987279855646193,0.002991800140906972,0.4678800873119723,0.39844639388188213,0.011545960775534199,0.09020235822853548,0.0,0.0,0.0,54.54545454545454,36.36363636363637,0.0,9.090909090909092
MOZ,0.07172911101952195,0.2332020504400134,0.008038791362196207,0.10659055411815643,0.49010679110263783,0.07334090024232864,0.016991787085620064,0.0,33.33333333333333,0.0,0.0,66.66666666666666,0.0,0.0
MRT,0.22659985185600817,0.02511202616733499,0.022063798693125136,0.00793211770360358,0.5819743960164487,0.11229696497321129,0.024020827484491747,25.0,0.0,0.0,0.0,75.0,0.0,0.0
MWI,0.041048897604923695,0.00705959796323441,0.010994865122484043,0.6917985131343206,0.01013727771351114,0.001408394382451661,0.23755245348244594,0.0,0.0,0.0,66.66666666666666,0.0,0.0,33.33333333333333
